id,Description,Sentiment,
477,Phone stopped working after 2 days of use. Took to Apple Store and was basically told it wasn�t even an iPhone. It has android phone parts on the inside.,Negative,
478,Bluetooth doesn�t work on the phone at all when I messaged the seller. They did nothing to fix it.,Negative,
479,"I was skeptical at first but wow this phone is in perfect condition! No scuffs, scratches, or anything. Cameras, battery life, everything is perfect! A definite must buy! I currently have Cricket Wireless & it works!",Positive,
480,Have had this phone for 3 months now and no issues! Battery life is great and worked with our pay by month phone plan,Positive,
481,"Because the phone was renewed it's not water proof so please don't place it in water.
The phone works very good other than the water issue",Positive,
482,"Excelente producto, en muy buen estado, es lo que buscaba",Positive,
483,"Obvious scratch on camera. Not full unlocked, original carrier�s information inside and can not be deleted",Negative,
484,Love my phone it�s pretty and easy to use however the charger was iffy,Positive,
485,When i received the Verizon 64 gigabyte version it could not be activated because it was a fraudulent device.,Negative,
486,I recently made the switch from the Samsung Galaxy S10 to the IPhone 11 and the phone arrived fast looking practically brand new. No scratches or blemishes. Maximum battery capacity is 85% but this phone holds a charge pretty good. I've had the phone for a month now with no issues. This is my 2nd purchase from this seller and I will buy again in the future.,Positive,
487,"I absolutely love this! It connected to my carrier right away and it had no dings or cracks or anything. I was definitely skeptical about buying an �unlocked� phone online but I�m glad I did. The battery life is at 88% which is still good and it�s nothing to get a new battery when it comes time for that. But otherwise, I�m super happy with the phone.",Positive,
488,Phone was constantly power cycling had to end up returning the device,Negative,
489,I love yellow! This phone is awesome! The camera is perfect and the phone battery life is better.,Positive,
490,This was a very good value for our money. Love the quality of the pictures it takes and the battery last a long time. Couldn�t be happier if it was a new one !! We actually bought two of them one black and one in red. Both are great!!!,Positive,
491,I definitely like the phone but I was supposed to receive purple instead I received a white phone,Positive,
492,I purchased this phone as a gift and was as expected. Small dings on the back side but no major defect and the phone works great.,Positive,
493,A gift for my husband. He loves it. Looks like new. Works very well so far.,Positive,
494,I was not sure what to expect with this device. However the device looks like new. Battery life is outstanding.,Positive,
495,"The phone was almost new but the screen was damaged, the entire left side of the screen didn�t work, letters WSZADQX couldn�t be pressed so I had to pay for a new screen wich cost me 150$",Neutral,
496,I was sooo worried when I ordered this phone but let me tell you something..... it�s amazing! Works great. If u have second thoughts don�t bc it�s worth it.,Positive,
497,"excelente estado .bater�a 95% , buen precio excelente como regalo",Positive,
498,So far so good haven�t had any problems with any apps with service I love my phone it came a day early very satisfied,Positive,
499,"I went from an Android to the iPhone. It was so easy to set up, and face recognition was quick. I can go two days before charging it that�s how well the charge holds. I�m really glad I made the switch.",Positive,
